Date,avg_temperature,precipitation_sum
2015-12-31,3,0.0
2016-01-31,4,2.267741935483871
2016-02-29,6,3.4413793103448276
2016-03-31,6,3.8451612903225807
2016-04-30,11,3.57
2016-05-31,12,3.3161290322580643
2016-06-30,17,3.5266666666666664
2016-07-31,21,3.225806451612903
2016-08-31,20,1.3838709677419354
2016-09-30,16,2.1466666666666665
2016-10-31,12,3.2838709677419353
2016-11-30,7,2.453333333333333
2016-12-31,4,0.24516129032258066
2017-01-31,1,2.4838709677419355
2017-02-28,5,3.1714285714285713
2017-03-31,8,2.7451612903225806
2017-04-30,9,2.3466666666666667
2017-05-31,14,1.5838709677419356
2017-06-30,20,1.4166666666666667
2017-07-31,22,0.7451612903225807
2017-08-31,23,0.6612903225806451
2017-09-30,14,4.926666666666666
2017-10-31,12,1.5161290322580645
2017-11-30,7,3.5966666666666667
2017-12-31,3,7.990322580645161
2018-01-31,5,2.270967741935484
2018-02-28,1,4.992857142857143
2018-03-31,5,8.138709677419355
2018-04-30,12,1.9933333333333332
2018-05-31,14,6.167741935483871
2018-06-30,17,1.85
2018-07-31,21,0.4967741935483871
2018-08-31,21,1.3903225806451613
2018-09-30,17,1.6233333333333335
2018-10-31,13,6.232258064516128
2018-11-30,8,4.083333333333333
2018-12-31,4,2.164516129032258
2019-01-31,2,2.738709677419355
2019-02-28,4,2.067857142857143
2019-03-31,7,1.1225806451612903
2019-04-30,9,2.756666666666667
2019-05-31,10,6.003225806451613
2019-06-30,21,0.07333333333333333
2019-07-31,22,2.535483870967742
2019-08-31,22,0.9548387096774194
2019-09-30,17,2.8233333333333333
2019-10-31,14,0.9903225806451613
2019-11-30,9,11.25
2019-12-31,6,4.638709677419355
2020-01-31,4,0.9032258064516129
2020-02-29,5,2.451724137931034
2020-03-31,6,2.7838709677419353
2020-04-30,10,2.4099999999999997
2020-05-31,14,2.335483870967742
2020-06-30,16,4.733333333333333
2020-07-31,21,0.5967741935483871
2020-08-31,22,2.5032258064516126
2020-09-30,17,3.913333333333333
2020-10-31,10,6.199999999999999
2020-11-30,8,1.63
2020-12-31,4,6.896774193548388
2021-01-31,3,5.690322580645161
2021-02-28,6,4.139285714285714
2021-03-31,5,2.196774193548387
2021-04-30,8,3.8466666666666667
2021-05-31,13,2.064516129032258
2021-06-30,20,0.64
2021-07-31,22,1.5032258064516129
2021-08-31,21,1.5129032258064516
2021-09-30,18,1.38
2021-10-31,11,2.1129032258064515
2021-11-30,9,4.75
2021-12-31,4,4.896774193548388
2022-01-31,3,1.2032258064516128
2022-02-28,5,1.6535714285714287
2022-03-31,5,1.6935483870967742
2022-04-30,8,2.29
2022-05-31,16,0.6064516129032258
2022-06-30,22,0.35666666666666663
2022-07-31,24,0.06451612903225806
2022-08-31,22,1.632258064516129
2022-09-30,16,5.1033333333333335
2022-10-31,15,0.43870967741935485
2022-11-30,8,5.013333333333334
2022-12-31,7,4.909677419354838
